Stratum,DATASOURCE,STATIONID,STATIONNAME,UNIQUEID
134,STORET_CHNEPCHE,134,134,STORET_CHNEPCHE : 134
133,STORET_FLPRMRWS,PR104_0605,Peace River @ river kilometer -18.0 @ 20 ppt isohaline,STORET_FLPRMRWS : PR104_0605
133,STORET_FLPRMRWS,PR104_0906,Peace River @ river kilometer -17 @ 20 ppt isohaline,STORET_FLPRMRWS : PR104_0906
133,STORET_CHNEPCHE,133,133,STORET_CHNEPCHE : 133
132,STORET_CHNEPCHP,132,132,STORET_CHNEPCHP : 132
131,STORET_21FLFMRI,CHA200210,Charlotte Harbor - Turtle Bay,STORET_21FLFMRI : CHA200210
131,STORET_21FLSWFD,670136,CHARLOTTE HARBOR CCHMN-117,STORET_21FLSWFD : 670136
131,STORET_21FLSWFD,670148,CHARLOTTE HARBOR CCHMN-130,STORET_21FLSWFD : 670148
131,LEGACYSTORET_21FLA,58160SEAS,Cape Haze Point /  /,LEGACYSTORET_21FLA : 58160SEAS
131,STORET_CHNEPCHP,131,131,STORET_CHNEPCHP : 131
130,STORET_21FLSWFD,670147,CHARLOTTE HARBOR CCHMN-129,STORET_21FLSWFD : 670147
130,STORET_CHNEPCHP,130,130,STORET_CHNEPCHP : 130
129,STORET_21FLCHAR,CHV012,Char Harbor/Bull Bay/Piling NE of 1st Fis,STORET_21FLCHAR : CHV012
129,STORET_21FLSWFD,670134,CHARLOTTE HARBOR CCHMN-115,STORET_21FLSWFD : 670134
129,STORET_21FLSWFD,670135,CHARLOTTE HARBOR CCHMN-116,STORET_21FLSWFD : 670135
129,USGS_NWIS,264630082123500,CHARLOTTE HARBOR SAMPLE SITE CH12 IN BULL BAY,USGS_NWIS : 264630082123500
129,LEGACYSTORET_21FLA,58180SEAS,Bull Bay at fishing cabin /  /,LEGACYSTORET_21FLA : 58180SEAS
129,LEGACYSTORET_21FLA,58181SEAS,Shoreline of Bull Key at markers /  /,LEGACYSTORET_21FLA : 58181SEAS
129,LEGACYSTORET_21FLA,58182SEAS,SW corner of Leonard's lease /  /,LEGACYSTORET_21FLA : 58182SEAS
129,CHEVWQMN_WQ,CHV012,Bull Bay,CHEVWQMN_WQ : CHV012
129,STORET_CHNEPCHP,129,129,STORET_CHNEPCHP : 129
128,STORET_21FLFTM,141,Lower Charlotte Harbor East of Devilfish Key~WB2065D-1,STORET_21FLFTM : 141
128,STORET_21FLFTM,25010062,BULL BAY - CHARLOTTE HARBOR,STORET_21FLFTM : 25010062
128,STORET_21FLSWFD,670133,CHARLOTTE HARBOR CCHMN-114,STORET_21FLSWFD : 670133
128,LEGACYSTORET_21FLA,25010062,BULL BAY - CHARLOTTE HARBOR / SOUTH-EAST / PEACE,LEGACYSTORET_21FLA : 25010062
128,STORET_CHNEPCHP,128,128,STORET_CHNEPCHP : 128
127,STORET_21FLFTM,28020017,CHAR HAR RED MK 6 BOCA GRANDE,STORET_21FLFTM : 28020017
127,STORET_21FLSWFD,670132,CHARLOTTE HARBOR CCHMN-113,STORET_21FLSWFD : 670132
127,STORET_21FLWPB,28020017,CHAR HAR RED MK 6 BOCA GRANDE,STORET_21FLWPB : 28020017
127,LEGACYSTORET_21FLA,28020017,CHAR HAR RED MK 6 BOCA GRANDE / SOUTH-EAST / LOWER FLORIDA,LEGACYSTORET_21FLA : 28020017
127,STORET_CHNEPCHP,127,127,STORET_CHNEPCHP : 127
126,STORET_21FLSWFD,670144,CHARLOTTE HARBOR CCHMN-126,STORET_21FLSWFD : 670144
126,LEGACYSTORET_21FLA,58030SEAS,N tip of Hoagen Key /  /,LEGACYSTORET_21FLA : 58030SEAS
126,LEGACYSTORET_21FLA,58031SEAS,Shoreline W of ICWW 7 /  /,LEGACYSTORET_21FLA : 58031SEAS
126,STORET_CHNEPCHP,126,126,STORET_CHNEPCHP : 126
151,STORET_21FLCHAR,CHV009,Burnt Store Marina entrance,STORET_21FLCHAR : CHV009
151,STORET_21FLSWFD,670155,CHARLOTTE HARBOR CCHMN-137,STORET_21FLSWFD : 670155
151,STORET_21FLFTM,CHARHB0061FTM,Yucca Pen Creek Qual Site,STORET_21FLFTM : CHARHB0061FTM
151,STORET_21FLSWFD,670156,CHARLOTTE HARBOR CCHMN-138,STORET_21FLSWFD : 670156
151,USGS_NWIS,02293356,CHARLOTTE HARBOR NR MATLACHA FL,USGS_NWIS : 02293356
151,CHEVWQMN_WQ,CHV009,Burnt Store Entrance,CHEVWQMN_WQ : CHV009
151,STORET_CHNEPCHB,151,151,STORET_CHNEPCHB : 151
150,STORET_21FLFTM,25010060,CHARLOTTE HAR MKR 2  BURNT STORE,STORET_21FLFTM : 25010060
150,STORET_21FLSWFD,670154,CHARLOTTE HARBOR CCHMN-136,STORET_21FLSWFD : 670154
150,LEGACYSTORET_21FLA,25010060,"CHARLOTTE HAR MKR 2, BURNT STORE / SOUTH-EAST / PEACE",LEGACYSTORET_21FLA : 25010060
150,USGS_NWIS,264532082043200,CHARLOTTE HARBOR SALINE 68 AT MARKER 2,USGS_NWIS : 264532082043200
150,STORET_CHNEPCHB,150,150,STORET_CHNEPCHB : 150
149,STORET_CHNEPCHB,149,149,STORET_CHNEPCHB : 149
148,STORET_21FLFTM,25010059,CHARLOTTE HARBOR NEAR MARKER 6,STORET_21FLFTM : 25010059
148,STORET_21FLFTM,LEE_LEE3-909,Lower Charlotte Harbor W of Burnt Store Marina~WB2065D-3,STORET_21FLFTM : LEE_LEE3-909
148,STORET_21FLKWAT,LEE-LEE3-909,Lee-LEE3-909,STORET_21FLKWAT : LEE-LEE3-909
148,STORET_21FLKWAT,LEE-LEE3-923,Lee-LEE3-923,STORET_21FLKWAT : LEE-LEE3-923
148,STORET_21FLKWAT,LEE-LEE3-944,Lee-LEE3-944,STORET_21FLKWAT : LEE-LEE3-944
148,USGS_NWIS,264527082063500,"CHARLOTTE HARBOR (S36) NR MARK 6 NR CAPE HAZE,FL",USGS_NWIS : 264527082063500
148,LEGACYSTORET_21FLA,25010059,CHARLOTTE HARBOR NEAR MARKER 6 / SOUTH-EAST / PEACE,LEGACYSTORET_21FLA : 25010059
148,STORET_CHNEPCHB,148,148,STORET_CHNEPCHB : 148
147,USGS_NWIS,264537082080000,CHARLOTTE HARBOR MARKER5 NEAR CAPE HAZE FL,USGS_NWIS : 264537082080000
147,STORET_CHNEPCHB,147,147,STORET_CHNEPCHB : 147
146,STORET_21FLFTM,25010004,CHARLOTTE HRBR MRKR 7,STORET_21FLFTM : 25010004
146,STORET_21FLSWFD,670150,CHARLOTTE HARBOR CCHMN-132,STORET_21FLSWFD : 670150
146,USGS_NWIS,264500082083000,1/3 WAY FR MARKER5 TO MARKER4 NEAR CAPE HAZE FL,USGS_NWIS : 264500082083000
146,LEGACYSTORET_21FLA,25010004,CHARLOTTE HRBR MRKR 7 / SOUTH-EAST / PEACE,LEGACYSTORET_21FLA : 25010004
146,LEGACYSTORET_21FLA,58119SEAS,Marker 5 S of Cape Haze /  /,LEGACYSTORET_21FLA : 58119SEAS
146,STORET_CHNEPCHB,146,146,STORET_CHNEPCHB : 146
145,STORET_21FLSWFD,670149,CHARLOTTE HARBOR CCHMN-131,STORET_21FLSWFD : 670149
145,STORET_FLPRMRWS,PR04_0902,-21.4 km 20 o/oo,STORET_FLPRMRWS : PR04_0902
145,USGS_NWIS,264540082100000,CHARLOTTE HARBOR SALINE 66 NEAR CAPE HAZE,USGS_NWIS : 264540082100000
145,STORET_CHNEPCHB,145,145,STORET_CHNEPCHB : 145
144,STORET_FLPRMRWS,PR104_0805,Peace River @ river kilometer -25.0 @ 20 ppt isohaline,STORET_FLPRMRWS : PR104_0805
144,STORET_CHNEPCHB,144,144,STORET_CHNEPCHB : 144
143,STORET_CHNEPCHB,143,143,STORET_CHNEPCHB : 143
142,STORET_21FLSWFD,670146,CHARLOTTE HARBOR CCHMN-128,STORET_21FLSWFD : 670146
142,STORET_CHNEPCHB,142,142,STORET_CHNEPCHB : 142
141,STORET_21FLSWFD,670145,CHARLOTTE HARBOR CCHMN-127,STORET_21FLSWFD : 670145
141,STORET_CHNEPCHB,141,141,STORET_CHNEPCHB : 141
140,STORET_21FLFTM,28020018,CHAR HAR RED MK 4 BOCA GRANDE,STORET_21FLFTM : 28020018
140,STORET_21FLWPB,28020018,CHAR HAR RED MK 4 BOCA GRANDE,STORET_21FLWPB : 28020018
140,LEGACYSTORET_21FLA,28020018,CHAR HAR RED MK 4 BOCA GRANDE / SOUTH-EAST / LOWER FLORIDA,LEGACYSTORET_21FLA : 28020018
140,LEGACYSTORET_21FLA,58051SEAS,ICWW 3 /  /,LEGACYSTORET_21FLA : 58051SEAS
140,STORET_CHNEPCHB,140,140,STORET_CHNEPCHB : 140
139,STORET_21FLFTM,28020014,SUNSET CANAL N END,STORET_21FLFTM : 28020014
139,STORET_21FLFTM,28020015,SUNSET CANAL MID,STORET_21FLFTM : 28020015
139,STORET_21FLFTM,28020016,SUNSET CANAL AT CROSS CUT,STORET_21FLFTM : 28020016
139,LEGACYSTORET_21FLA,28020014,SUNSET CANAL N END / SOUTH-EAST / LOWER FLORIDA,LEGACYSTORET_21FLA : 28020014
139,LEGACYSTORET_21FLA,28020015,SUNSET CANAL MID / SOUTH-EAST / LOWER FLORIDA,LEGACYSTORET_21FLA : 28020015
139,LEGACYSTORET_21FLA,28020016,SUNSET CANAL AT CROSS CUT / SOUTH-EAST / LOWER FLORIDA,LEGACYSTORET_21FLA : 28020016
139,LEGACYSTORET_21FLA,28021767,INF GASPARILLA IS WATER ASSOC /          FLORIDA / SOUTH-EAST              LOWER FLORIDA,LEGACYSTORET_21FLA : 28021767
139,LEGACYSTORET_21FLA,28021768,EFF GASPARILLA IS WATER ASSOC / SOUTH-EAST / LOWER FLORIDA,LEGACYSTORET_21FLA : 28021768
139,LEGACYSTORET_21FLA,58040SEAS,S tip of Three Sisters Island /  /,LEGACYSTORET_21FLA : 58040SEAS
139,LEGACYSTORET_21FLA,58060SEAS,Gasparilla Inn golf course ditch /  /,LEGACYSTORET_21FLA : 58060SEAS
139,STORET_CHNEPCHB,139,139,STORET_CHNEPCHB : 139
164,STORET_21FLFTM,CHARHB0062FTM,Culvert Creek Qual Site,STORET_21FLFTM : CHARHB0062FTM
164,LEE_WQ,BURNTN,Water Quality Mon. Old Burnt Store Rd North,LEE_WQ : BURNTN
164,LEE_WQ,BURNTS,Water Quality Mon. Old Burnt Store Rd South,LEE_WQ : BURNTS
164,STORET_CHNEPCHB,164,164,STORET_CHNEPCHB : 164
163,STORET_21FLFMRI,STR200020,StateNonTrend - Charlotte Harbor,STORET_21FLFMRI : STR200020
163,STORET_21FLFMRI,STR200114,StateNonTrend - Charlotte Harbor,STORET_21FLFMRI : STR200114
163,STORET_21FLFMRI,STR200215,StateNonTrend - Charlotte Harbor,STORET_21FLFMRI : STR200215
163,STORET_CHNEPCHB,163,163,STORET_CHNEPCHB : 163
162,STORET_CHNEPCHB,162,162,STORET_CHNEPCHB : 162
161,STORET_CHNEPCHB,161,161,STORET_CHNEPCHB : 161
160,STORET_CHNEPCHB,160,160,STORET_CHNEPCHB : 160
159,STORET_CHNEPCHB,159,159,STORET_CHNEPCHB : 159
158,STORET_21FLCHAR,CHV011,Char Harbor/N Bokeelia/Marker 4,STORET_21FLCHAR : CHV011
158,STORET_21FLKWAT,LEE-LEE2-968,Lee-LEE2-968,STORET_21FLKWAT : LEE-LEE2-968
158,STORET_21FLKWAT,LEE-LEE2-977,Lee-LEE2-977,STORET_21FLKWAT : LEE-LEE2-977
158,STORET_21FLKWAT,LEE-LEE2-978,Lee-LEE2-978,STORET_21FLKWAT : LEE-LEE2-978
158,STORET_FLPRMRWS,PR103_0705,Peace River @ river kilometer -23.5 @ 12 ppt isohaline,STORET_FLPRMRWS : PR103_0705
158,STORET_SWFMDDEP,CH-011,CHARLOTTE HARBOR MAIN CHANNEL RED BUOY #4,STORET_SWFMDDEP : CH-011
158,USGS_NWIS,264420082100000,"CHARLOTTE HARBOR, TRANSECT NO.3 NR CAPE HAZE, FL",USGS_NWIS : 264420082100000
158,CHEVWQMN_WQ,CHV011,Charlotte Harbor,CHEVWQMN_WQ : CHV011
158,STORET_CHNEPCHB,158,158,STORET_CHNEPCHB : 158
157,LEGACYSTORET_21FLA,25010058,"CHARLOTTE HAR S MRKR 4,N BOKEELI / SOUTH-EAST / PEACE",LEGACYSTORET_21FLA : 25010058
157,LEGACYSTORET_21FLSWFD,CH-011,CHARLOTTE HARBOR MAIN CHANNEL RED BUOY #4 /  /,LEGACYSTORET_21FLSWFD : CH-011
157,STORET_CHNEPCHB,157,157,STORET_CHNEPCHB : 157
156,STORET_CHNEPCHB,156,156,STORET_CHNEPCHB : 156
155,STORET_21FLKWAT,LEE-LEE1-160,Lee-LEE1-160,STORET_21FLKWAT : LEE-LEE1-160
155,STORET_21FLKWAT,LEE-LEE1-163,Lee-LEE1-163,STORET_21FLKWAT : LEE-LEE1-163
155,STORET_21FLKWAT,LEE-LEE1-179,Lee-LEE1-179,STORET_21FLKWAT : LEE-LEE1-179
155,STORET_FLPRMRWS,PR104_0803,Peace River @ river kilometer -29 @ 20 ppt isohaline,STORET_FLPRMRWS : PR104_0803
155,STORET_CHNEPCHB,155,155,STORET_CHNEPCHB : 155
154,STORET_CHNEPCHB,154,154,STORET_CHNEPCHB : 154
153,STORET_CHNEPCHB,153,153,STORET_CHNEPCHB : 153
152,STORET_21FLFTM,28020033,HAR DR CAN CENTER,STORET_21FLFTM : 28020033
152,STORET_21FLFTM,28020049,HAR DR CAN 0.3 END,STORET_21FLFTM : 28020049
152,STORET_21FLFTM,28020050,HAR DR CAN END,STORET_21FLFTM : 28020050
152,STORET_21FLFTM,28020065,NOR CANAL 0.1 MILE FROM END,STORET_21FLFTM : 28020065
152,STORET_21FLFTM,28020066,CHAR HARBOR MKR 2,STORET_21FLFTM : 28020066
152,STORET_21FLWPB,28020066,CHAR HARBOR MKR 2,STORET_21FLWPB : 28020066
152,LEGACYSTORET_21FLA,28020033,HAR DR CAN CENTER / SOUTH-EAST / LOWER FLORIDA,LEGACYSTORET_21FLA : 28020033
152,LEGACYSTORET_21FLA,28020049,HAR DR CAN 0.3 END / SOUTH-EAST / LOWER FLORIDA,LEGACYSTORET_21FLA : 28020049
152,LEGACYSTORET_21FLA,28020050,HAR DR CAN END / SOUTH-EAST / LOWER FLORIDA,LEGACYSTORET_21FLA : 28020050
152,LEGACYSTORET_21FLA,28020065,NOR CANAL 0.1 MILE FROM END / SOUTH-EAST / LOWER FLORIDA,LEGACYSTORET_21FLA : 28020065
152,LEGACYSTORET_21FLA,28020066,CHAR HARBOR MKR 2 / SOUTH-EAST / LOWER FLORIDA,LEGACYSTORET_21FLA : 28020066
152,LEGACYSTORET_21FLA,58090SEAS,Mouth of Yacht basin /  /,LEGACYSTORET_21FLA : 58090SEAS
152,LEGACYSTORET_21FLA,58110SEAS,Shoreline west of ICWW 1 /  /,LEGACYSTORET_21FLA : 58110SEAS
152,STORET_CHNEPCHB,152,152,STORET_CHNEPCHB : 152
470,STORET_21FLFTM,CALUSA0006FTM,Caloosahatchee R. Mid Channel off Oxbox on S Bank - WB 3240C,STORET_21FLFTM : CALUSA0006FTM
470,USGS_NWIS,264302081444000,"CALOOSAHATCHEE R AT MARKER 5 NR FT MYERS,FL",USGS_NWIS : 264302081444000
469,STORET_21FLSFWM,CES03,CALOOSAHATCHEE WATER QUALITY MONITORING STATION,STORET_21FLSFWM : CES03
176,STORET_CHNEPCHB,176,176,STORET_CHNEPCHB : 176
175,STORET_21FLFMRI,CHA200212,Charlotte Harbor - Matlacha Pass,STORET_21FLFMRI : CHA200212
175,STORET_CHNEPCHB,175,175,STORET_CHNEPCHB : 175
174,STORET_21FLFTM,186,Lower Charlotte Harbor NE of Jug Creek Point~WB2065D-4,STORET_21FLFTM : 186
174,STORET_CHNEPCHB,174,174,STORET_CHNEPCHB : 174
173,STORET_CHNEPCHB,173,173,STORET_CHNEPCHB : 173
172,STORET_CHNEPCHB,172,172,STORET_CHNEPCHB : 172
171,STORET_CHNEPCHB,171,171,STORET_CHNEPCHB : 171
170,STORET_21FLFMRI,CHA200211,Charlotte Harbor - 2 Miles NW Bokeelia,STORET_21FLFMRI : CHA200211
170,STORET_21FLFTM,25010058,CHARLOTTE HAR S MRKR 4 N BOKEEL,STORET_21FLFTM : 25010058
170,STORET_CHNEPCHB,170,170,STORET_CHNEPCHB : 170
169,STORET_21FLFTM,PR104_0103,Lower Charlotte Harbor Northwest of Bokeelia~WB2065D-2,STORET_21FLFTM : PR104_0103
169,STORET_FLPRMRWS,PR104_0103,Peace River @ river kilometer -2.4 @ 20 ppt isohaline,STORET_FLPRMRWS : PR104_0103
169,STORET_CHNEPCHB,169,169,STORET_CHNEPCHB : 169
168,USGS_NWIS,264354082124800,EAST PAIR OF RANGE MARKERS NEAR BOCA GRANDE FL,USGS_NWIS : 264354082124800
168,USGS_NWIS,264348082124200,CHARLOTTE HARBOR SOUTH NE OF BOCA GRANDE PASS FL,USGS_NWIS : 264348082124200
168,STORET_CHNEPCHB,168,168,STORET_CHNEPCHB : 168
167,STORET_CHNEPCHB,167,167,STORET_CHNEPCHB : 167
166,STORET_FLPRMRWS,PR101_0705,Peace River @ river kilometer 3.0 @ 0 ppt isohaline,STORET_FLPRMRWS : PR101_0705
166,STORET_FLPRMRWS,PR104_0705,Peace River @ river kilometer -30.5 @ 20 ppt isohaline,STORET_FLPRMRWS : PR104_0705
166,STORET_CHNEPCHB,166,166,STORET_CHNEPCHB : 166
165,STORET_21FLDOH,LEE145,FL818380,STORET_21FLDOH : LEE145
165,STORET_SWFMDDEP,CH-012,CHARLOTTE HARBOR 1000 YDS E BOCA GRANDE NR PASS,STORET_SWFMDDEP : CH-012
165,USGS_NWIS,02293332,CHARLOTTE HARBOR AT PORT BOCA GRANDE FL,USGS_NWIS : 02293332
165,LEGACYSTORET_21FLA,58120SEAS,Boca Grande Pass Marina /  /,LEGACYSTORET_21FLA : 58120SEAS
165,STORET_CHNEPCHB,165,165,STORET_CHNEPCHB : 165
467,STORET_21FLFTM,28020002,CALOOSAHATCHEE R BR SR 31 SR 80,STORET_21FLFTM : 28020002
467,USGS_NWIS,264257081454100,"CALOOSAHATCHEE R AT SR-31 BRIDGE NR FT MYERS, FL",USGS_NWIS : 264257081454100
467,LEE_WQ,CES03BOT,CES-03-Bottom,LEE_WQ : CES03BOT
467,LEE_WQ,CES03SUR,CES-03-Field Duplicate,LEE_WQ : CES03SUR
467,LEGACYSTORET_21FLA,28020002,CALOOSAHATCHEE R BR SR 31 SR 80 / SOUTH-EAST / LOWER FLORIDA,LEGACYSTORET_21FLA : 28020002
463,USGS_NWIS,264207081462800,CALOOSAHATCHEE R AT MARKER 11 NEAR FT MYERS FL,USGS_NWIS : 264207081462800
463,STORET_21FLFTM,28020110,CALOOS R UPST FP & L INF,STORET_21FLFTM : 28020110
463,LEE_WQ,25-GR20,Palm Creek @ SR 78,LEE_WQ : 25-GR20
463,LEGACYSTORET_21FLA,28020110,CALOOS R UPST FP & L INF / SOUTH-EAST / LOWER FLORIDA,LEGACYSTORET_21FLA : 28020110
462,LEE_WQ,24-7GR,"Stroud Cr/78,Up side",LEE_WQ : 24-7GR
461,STORET_21FLGW,10154,SFD-HS-1073 BAYSHORE CREEK,STORET_21FLGW : 10154
461,STORET_21FLSFWM,CAL 01,CALOOSAHATCHEE RIVER MILE 4,STORET_21FLSFWM : CAL 01
461,STORET_21FLSFWM,CAL 02,CALOOSAHATCHEE RIVER MILE 4,STORET_21FLSFWM : CAL 02
461,STORET_21FLFTM,28020038,POPASH CR SR 78 BR NE FT MYERS L,STORET_21FLFTM : 28020038
461,STORET_21FLFTM,28020039,STROUD CR SR 78 BR NE OF NORTH F,STORET_21FLFTM : 28020039
461,USGS_NWIS,02293090,"Popash Creek at Leetana Rd. nr North Fort Myers,FL",USGS_NWIS : 02293090
461,USGS_NWIS,264253081480100,STROUD CREEK AT SR-78,USGS_NWIS : 264253081480100
461,USGS_NWIS,264253081480101,STROUD CREEK @ SR-78,USGS_NWIS : 264253081480101
461,USGS_NWIS,264253081483200,POPASH CREEK AT SR78 NEAR FT MYERS FL,USGS_NWIS : 264253081483200
461,LEE_WQ,23-5GR,"I-75/Popash Cr, Up side/Nbound",LEE_WQ : 23-5GR
461,LEGACYSTORET_21FLA,28020038,POPASH CR SR 78 BR NE FT MYERS L / SOUTH-EAST / LOWER FLORIDA,LEGACYSTORET_21FLA : 28020038
461,LEGACYSTORET_21FLA,28020039,STROUD CR SR 78 BR NE OF NORTH F / SOUTH-EAST / LOWER FLORIDA,LEGACYSTORET_21FLA : 28020039
460,USGS_NWIS,264253081494400,UNNAMED TRIBUTARY AT SR 789,USGS_NWIS : 264253081494400
460,LEE_WQ,21-7GR,"Chapel Branch at 78, Up side",LEE_WQ : 21-7GR
460,LEE_WQ,22-7GR,BAYSHORE CREEK - Henderson,LEE_WQ : 22-7GR
459,STORET_21FLFTM,28020037,DAUGHTREY CR SR 78 BR NE OF N FT,STORET_21FLFTM : 28020037
459,USGS_NWIS,264214081504200,DAUGHTREY CREEK AT SR78 NEAR FT MYERS FL,USGS_NWIS : 264214081504200
459,LEE_WQ,20-9GR,"DAUGHTREY CREEK at SR78, Up looking North D",LEE_WQ : 20-9GR
459,LEE_WQ,20A-11GR,DAUGHTREY CREEK- E. Branch SR 78,LEE_WQ : 20A-11GR
459,LEGACYSTORET_21FLA,28020037,DAUGHTREY CR SR 78 BR NE OF N FT / SOUTH-EAST / LOWER FLORIDA,LEGACYSTORET_21FLA : 28020037
188,STORET_CAPECRD,115,Junction of Longview Lake with North Spreader Waterway.,STORET_CAPECRD : 115
188,USGS_NWIS,264217082043600,SITE 63 ESTUARY                PINE ISLAND CEN,USGS_NWIS : 264217082043600
188,STORET_CHNEPCHB,188,188,STORET_CHNEPCHB : 188
187,LEE_WQ,PI-06,Pine Island Station #6,LEE_WQ : PI-06
187,STORET_CHNEPCHB,187,187,STORET_CHNEPCHB : 187
186,USGS_NWIS,264217082060900,CHARLOTTE HARBOR SALINE 60 EAST OF BOKEELIA,USGS_NWIS : 264217082060900
186,STORET_CHNEPCHB,186,186,STORET_CHNEPCHB : 186
185,STORET_CHNEPCHB,185,185,STORET_CHNEPCHB : 185
184,STORET_CHNEPCHB,184,184,STORET_CHNEPCHB : 184
183,STORET_21FLFTM,CHARHB0074FTM,Stringfellow Rd. @ Jug Creek,STORET_21FLFTM : CHARHB0074FTM
183,USGS_NWIS,02293340,CHARLOTTE HARBOR AT BOKEELIA FL,USGS_NWIS : 02293340
183,STORET_21FLCHAR,CHV010,Char Harbor at Bokeelia Pier,STORET_21FLCHAR : CHV010
183,STORET_21FLFMRI,STR200403,Pine Island Sound,STORET_21FLFMRI : STR200403
183,STORET_21FLFTM,28020060,JUG CK SR 767 BR PIN IS,STORET_21FLFTM : 28020060
183,STORET_21FLWPB,28020060,JUG CK SR 767 BR PIN IS,STORET_21FLWPB : 28020060
183,LEGACYSTORET_21FLA,28020060,JUG CK SR 767 BR PIN IS / SOUTH-EAST / LOWER FLORIDA,LEGACYSTORET_21FLA : 28020060
183,LEGACYSTORET_21FLA,58121SEAS,Bokeelia at fishing pier /  /,LEGACYSTORET_21FLA : 58121SEAS
183,USGS_NWIS,264253082100000,CHARLOTTE HARBOR SALINE 67 NEAR BOKEELIA,USGS_NWIS : 264253082100000
183,CHEVWQMN_WQ,CHV010,Charlotte Harbor,CHEVWQMN_WQ : CHV010
183,STORET_CHNEPCHB,183,183,STORET_CHNEPCHB : 183
182,STORET_21FLFMRI,CHA200213,Charlotte Harbor - 1 Mile W Bokeelia,STORET_21FLFMRI : CHA200213
182,LEE_WQ,PI-07,Pine Island #7,LEE_WQ : PI-07
182,STORET_CHNEPCHB,182,182,STORET_CHNEPCHB : 182
181,LEGACYSTORET_21FLA,58091SEAS,Mkr 8 W of Bokeelia /  /,LEGACYSTORET_21FLA : 58091SEAS
181,LEGACYSTORET_21FLA,62091SEAS,Marker 8 W of Bokeelia /  /,LEGACYSTORET_21FLA : 62091SEAS
181,USGS_NWIS,264215082110500,CHARLOTTE HARBOR SALINE 65 AT MARKER 8,USGS_NWIS : 264215082110500
181,STORET_CHNEPCHB,181,181,STORET_CHNEPCHB : 181
180,STORET_CHNEPCHB,180,180,STORET_CHNEPCHB : 180
179,STORET_CHNEPCHB,179,179,STORET_CHNEPCHB : 179
178,LEE_WQ,PI-08,Pine Island #8,LEE_WQ : PI-08
178,LEGACYSTORET_21FLA,58122SEAS,ICWW 75 /  /,LEGACYSTORET_21FLA : 58122SEAS
178,LEGACYSTORET_21FLA,62120SEAS,ICWW 75 /  /,LEGACYSTORET_21FLA : 62120SEAS
178,STORET_CHNEPCHB,178,178,STORET_CHNEPCHB : 178
177,USGS_NWIS,264254082151500,"CHARLOTTE HARB. BOCA GRANDE PASS, SITE CH-16",USGS_NWIS : 264254082151500
177,STORET_CHNEPCHB,177,177,STORET_CHNEPCHB : 177
458,STORET_21FLFTM,28020109,ORANGE R 1 MI UP FP & L,STORET_21FLFTM : 28020109
458,USGS_NWIS,02293055,"ORANGE RIVER NEAR BUCKINGHAM, FL",USGS_NWIS : 02293055
458,LEGACYSTORET_21FLA,28020109,ORANGE R 1 MI UP FP & L / SOUTH-EAST / LOWER FLORIDA,LEGACYSTORET_21FLA : 28020109
457,STORET_21FLFTM,28020010,FP&L DISCHG CAN SR 80,STORET_21FLFTM : 28020010
457,STORET_21FLFTM,28020011,ORANGE RIVER AT FP&L DISCHG CANA,STORET_21FLFTM : 28020011
457,STORET_21FLFTM,28020012,ORANGE RIVER UPST FP&L DISCHG,STORET_21FLFTM : 28020012
457,STORET_21FLFTM,28020013,ORANGE R FP&L DISCHG,STORET_21FLFTM : 28020013
457,LEGACYSTORET_21FLA,28020010,FP&L DISCHG CAN SR 80 / SOUTH-EAST / LOWER FLORIDA,LEGACYSTORET_21FLA : 28020010
457,LEGACYSTORET_21FLA,28020011,ORANGE RIVER AT FP&L DISCHG CANA / SOUTH-EAST / LOWER FLORIDA,LEGACYSTORET_21FLA : 28020011
457,LEGACYSTORET_21FLA,28020012,ORANGE RIVER UPST FP&L DISCHG / SOUTH-EAST / LOWER FLORIDA,LEGACYSTORET_21FLA : 28020012
457,LEGACYSTORET_21FLA,28021731,INF FP & L N DISCH 400 MW /          FLORIDA / SOUTH-EAST              LOWER FLORIDA,LEGACYSTORET_21FLA : 28021731
457,LEGACYSTORET_21FLA,28021732,EFF FP&L N DISCHG / SOUTH-EAST / LOWER FLORIDA,LEGACYSTORET_21FLA : 28021732
457,LEGACYSTORET_21FLA,28021733,INF FP & L S DISCH 150 MW / SOUTH-EAST / LOWER FLORIDA,LEGACYSTORET_21FLA : 28021733
457,LEGACYSTORET_21FLA,28021734,EFF FP&L S DISCHG / SOUTH-EAST / LOWER FLORIDA,LEGACYSTORET_21FLA : 28021734
457,LEGACYSTORET_EFFLEPA,FL0001490,FL PWR & LT-FT MYERS STEAM  / / N / RECVG STRM-ORANGE R,LEGACYSTORET_EFFLEPA : FL0001490
456,STORET_21FLFTM,28020027,ORANGE R SR 80 BR NE FT MYERS LE,STORET_21FLFTM : 28020027
456,STORET_21FLFTM,CALUSA0007FTM,Caloosahatchee R. @ Orange River - WB 3240C,STORET_21FLFTM : CALUSA0007FTM
456,STORET_21FLSFWM,ORANRIVN,ORANGE RIVER (NO.) BRIDGE AND SR-80,STORET_21FLSFWM : ORANRIVN
456,USGS_NWIS,264115081473200,"ORANGE RIVER AT SR-80 NEAR FT MYERS, FLA",USGS_NWIS : 264115081473200
